State,Population,Alcohol Consumption,Smoking Habit
AK,2333.664406779661,17.713220338983074,28.476271186440677
AL,5399.805892547661,13.836915077989595,22.916811091854427
AR,3660.63670411985,13.422846441947556,23.04662921348317
AZ,14112.34761904762,14.808333333333332,22.361190476190448
CA,23946.401494565216,17.375271739130415,14.0233016304348
CO,9976.527777777777,16.917361111111113,15.897222222222224
CT,15366.359154929578,16.711267605633807,13.643661971830987
DC,601723.0,23.5,14.9
DE,5067.961038961039,16.923376623376615,17.289610389610388
FL,15752.402854006586,17.066410537870468,19.249066959385285
GA,7642.6227929374,15.66067415730336,21.98908507223113
HI,8776.697986577181,19.74966442953021,16.55771812080536
IA,2532.257828810021,20.632567849686847,17.820668058455112
ID,5124.365740740741,16.058333333333326,17.775925925925925
IL,8311.383025830259,20.66634686346865,18.47033210332101
IN,6616.291420118343,16.48579881656802,21.578106508875745
KS,3764.9651347068148,16.60364500792396,17.883042789223463
KY,4700.949720670391,14.603910614525143,24.36201117318434
LA,6311.363636363636,18.558562367864702,24.189006342494736
MA,19000.881147540982,19.687704918032782,14.322131147540995
MD,9301.133072407045,15.288649706457928,15.886105675146757
ME,4774.592307692307,17.277692307692295,18.249230769230756
MI,8017.450724637682,18.91028985507245,20.247246376811596
MN,4990.358447488585,21.70787671232878,18.22374429223743
MO,4271.251533742331,16.38619631901839,22.656850715746398
MS,4516.46408839779,13.028453038674044,22.098342541436455
MT,1988.3188405797102,20.439420289855075,19.74144927536233
NC,7703.422131147541,14.599863387978155,21.027322404371574
ND,1654.2807570977918,19.984542586750774,17.838485804416397
NE,2797.108365019011,19.28155893536122,16.35114068441065
NH,6477.5360824742265,17.198969072164942,16.642268041237113
NM,4077.645933014354,14.170813397129177,19.140430622009568
NV,20846.975609756097,17.100813008130093,19.89756097560976
NY,13193.327455919396,19.050461796809397,16.698320738874898
OH,6686.044517724649,17.64410552349546,22.76999175597693
OK,4130.02828854314,12.737057991513437,22.593069306930662
OR,8262.904891304348,17.50135869565218,17.72989130434781
PA,4037.407195888064,18.193375214163343,20.90177041690462
RI,18043.944444444445,18.275,16.427777777777784
SC,5471.362025316455,15.907088607594938,21.16556962025317
SD,1826.8925373134327,18.90477611940299,19.534029850746286
TN,9203.365967365968,13.27529137529137,23.74638694638695
TX,11761.878931750742,17.277982195845667,18.753471810089
UT,8287.705329153605,10.598746081504697,11.164890282131655
VA,9164.706576728498,15.322596964586849,18.43456998313657
VT,2005.3636363636363,18.368595041322305,16.80330578512396
WA,9060.166666666666,15.553594771241828,16.536928104575153
WI,5438.243556701031,22.182860824742292,17.571005154639188
WV,1999.1243781094527,12.569402985074634,25.485074626865657
WY,2407.846153846154,16.693406593406593,18.645054945054945
